StarCraft II: Heart of the Swarm,November,2013,2013 DreamHack Open: Winter,78070,USD,20,
StarCraft II: Heart of the Swarm,November,2013,2013 WCS Grand Finals,250000,USD,16,
StarCraft II: Heart of the Swarm,September,2013,2013 DreamHack Open: Bucharest,27330,USD,64,
StarCraft II: Heart of the Swarm,August,2013,2013 WCS Season 2 Finals,150000,USD,16,
StarCraft II: Heart of the Swarm,August,2013,ASUS ROG Summer 2013,25000,USD,32,
StarCraft II: Heart of the Swarm,July,2013,IEM Season VIII - Shanghai,25000,USD,28,
StarCraft II: Heart of the Swarm,July,2013,2013 DreamHack Open: Valencia,27330,USD,96,
StarCraft II: Heart of the Swarm,June,2013,2013 MLG Spring Championship,25000,USD,128,
StarCraft II: Heart of the Swarm,June,2013,2013 WCS Season 2 Europe,100000,USD,32,
StarCraft II: Heart of the Swarm,June,2013,HomeStory Cup VII,25000,USD,32,
StarCraft II: Heart of the Swarm,June,2013,2013 DreamHack Open: Summer,27330,USD,128,
StarCraft II: Heart of the Swarm,June,2013,2013 WCS Season 1 Final,150000,USD,16,
StarCraft II: Heart of the Swarm,May,2013,2013 WCS Season 2 Korea,100000,USD,32,
StarCraft II: Heart of the Swarm,April,2013,2013 WCS Season 1 America,100000,USD,32,
StarCraft II: Heart of the Swarm,April,2013,2013 DreamHack Open: Stockholm,27330,USD,96,
StarCraft II: Heart of the Swarm,April,2013,2013 WCS Season 1 Europe,100000,USD,32,
StarCraft II: Heart of the Swarm,March,2013,2013 MLG Winter Championship,75000,USD,32,
StarCraft II: Heart of the Swarm,March,2013,IEM Season VII - World Championship,100000,USD,24,
StarCraft II: Heart of the Swarm,March,2013,2013 WCS Season 1 Korea,100000,USD,32,
League of Legends,July,2013,EUW Challenger Series #9,400,USD,8,
League of Legends,July,2013,GGLA Challenger Arena 1,1000,USD,4,
League of Legends,July,2013,EUW Challenger Series #8,400,USD,8,
League of Legends,June,2013,PxL LAN 38,1000,EUR,14,
League of Legends,June,2013,The Summit: Arena 2013,4000,EUR,10,
League of Legends,June,2013,Malaysia Spring Season Finals 2013,10400,MYR,8,
League of Legends,June,2013,EUW Challenger Series #7,400,USD,8,
League of Legends,June,2013,SCAN & NVIDIA EUW Invitational,3000,GBP,8,
League of Legends,May,2013,Season 3 Hong Kong and Macao Qualifier,15000,HKD,64,
League of Legends,May,2013,EUW Challenger Series #6,400,USD,8,
